Report generated on: 12-09-2022 13:21:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTL.26-2-FRA-BCF.A,        France,981,1003,979,999,1079,1110,1129,1038,963,984,997,1131.24,1146.47,1158.403,1156.954715,1182.73,1314.318355,1300.051095,1312.905755,1382.65288,1402.817745,1470.86975,1528.08005,1510.7757,1603.65415,1740.3232,1762.57165,1656.2735,1736.43855,1665.4554,1694.76685,1654.50775,1488.209415,1551.917675,1274.341775,1342.95882,1470.621461,1479.096989,1442.993957,1470.697014,1362.862557,1451.71332
INTL.26-2-GUF-BCF.A,        French Guiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie
INTL.26-2-PYF-BCF.A,        French Polynesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-GAB-BCF.A,        Gabon,2.5,2.1,2,5.3,5.3,2,1,4.1,3.5,3.2,3,3.548592168,3.5315,3.5315,3.53,3.53,3.5315,3.5315,3.5315,3.5315,2.8252,2.8252,3.17835,3.17835,3.5315,3.5315,3.5315,2.8252,2.8252,2.8252,2.8252,2.47205,13.596275,11.23017,19.423085,19.423085,19.46193117,17.19731529,18.71332239,16.3860208,17.7279794,16.0328738
INTL.26-2-GMB-BCF.A,"        Gambia, The",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-GEO-BCF.A,        Georgia,--,--,--,--,--,--,--,--,--,--,--,--,176.58,84.76,56.5,74.16,63.57,67.0985,65.6859,40.9654,42.73115,40.9654,51.91305,36.37445,43.43745,52.089625,49.79415,59.68235,61.09495,60.38865,58.093175,52.725295,62.57818,71.76008,77.022015,84.7559343,79.4587293,80.8713173,79.7589499,90.28713128,89.68663501,90.43621908
INTL.26-2-DEU-BCF.A,        Germany,--,--,--,--,--,--,--,--,--,--,--,2776,2739.45,2829.826,2965.082715,3171.57,3162.74077,3011.87509,3129.89782,3150.980875,3098.11432,3239.409635,3218.96225,3160.83376,3173.12338,3202.57609,3272.49979,3142.61122,3262.47033,3032.958145,3337.69128,3029.88574,3028.649715,3097.8318,2797.37178,2872.839935,3105.669752,3296.686964,3285.866152,3380.048762,3091.689581,3214.266044
INTL.26-2-DDR-BCF.A,"        Germany, East",493,498,490,496,588,580,602,555,602,588,357,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
INTL.26-2-DEUW-BCF.A,"        Germany, West",2128,2015,1844,1901,1996,1966,1993,2178,2114,2247,2311.9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
INTL.26-2-GHA-BCF.A,        Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2378,29.31145,14.126,21.189,22.95475,44.98960917,26.29103794,43.50182674,62.28629017,75.68119128,114.4307266,121.0420671
INTL.26-2-GIB-BCF.A,        Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.002977897,2.640249202,se|2.7
INTL.26-2-GRC-BCF.A,        Greece,0,0,2.2,2.1,2.3,2,3,3,4,4,4,4,4,2.866,1.34,1.23,1.48323,6.815795,30.406215,52.9725,72.46638,71.371615,76.63355,86.1686,94.78546,100.36523,116.96328,142.31945,148.60552,124.59132,135.96275,164.744475,150.689105,135.68023,103.26106,110.81847,143.4139381,173.8905242,170.5737018,184.8761553,205.9551466,se|222
INTL.26-2-GRL-BCF.A,        Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-GRD-BCF.A,        Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-GLP-BCF.A,        Guadeloupe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie
INTL.26-2-GUM-BCF.A,        Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-GTM-BCF.A,        Guatemala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-GIN-BCF.A,        Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-GNB-BCF.A,        Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-GUY-BCF.A,        Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203430836,0.013109831,0.045866835,0.045866835
INTL.26-2-HTI-BCF.A,        Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029033887,0.03303606,0.02305344,0.051918604,0.02113232,0.042,0.118,se|.1
INTL.26-2-HITZ-BCF.A,        Hawaiian Trade Zone,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,--,--,--,--
INTL.26-2-HND-BCF.A,        Honduras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-HKG-BCF.A,        Hong Kong,0,0,0,0,0,0,0,0,0,0,13.62949074,14.6994999,16.48194327,17.37904909,18.76318109,19.8902212,65.82716,103.9638285,96.8867025,106.955009,95.27987,96.1592135,91.39522,67.87543,89.13506,108.41705,105.895559,94.99735,118.6584,113.255205,141.9663,112.831425,102.06035,96.869045,92.278095,114.526545,119.4225296,119.024261,115.1789683,116.7319366,173.5016481,se|185
INTL.26-2-HUN-BCF.A,        Hungary,344,350,368,367,382,395,417,417,411,418,394,393,348.56,372.326,375.363135,406.69,452.985505,430.843,433.138475,436.669975,424.98071,472.126235,472.973795,514.75144,510.37238,529.124645,501.54363,468.48879,462.732445,400.18958,428.44158,408.9477,364.87458,339.129945,316.28114,332.94982,355.0215075,367.1697643,353.0438843,359.5064744,372.4095476,386.5532051
INTL.26-2-ISL-BCF.A,        Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-IND-BCF.A,        India,51,64,89,106,113,135,180,227,310,315,399,449,476.7525,531.8439,593.64,627.55,696.4118,716.8945,760.6851,752.2095,718.66025,708.77205,921.0152,964.0995,1087.702,1269.2211,1369.86885,1460.6284,1518.19185,1882.64265,2277.46435,2260.51315,2105.4803,1854.0375,1813.14273,1753.142545,1952.102119,1999.600138,2147.904042,2201.348484,2177.03998,2315.471255
INTL.26-2-IDN-BCF.A,        Indonesia,248,248,236,316,369,436,471,487,517,579,629.67,764.9229,796.7064,849.681,965.15,1061.22,1136.78985,1125.48905,982.81645,1124.4296,957.7428,725.72325,797.05955,805.182,675.2228,719.0134,992.3515,1126.5485,1200.0037,1344.44205,1460.27525,1320.0747,1377.9913,1489.5867,1473.3418,1501.24065,1480.681836,1494.608137,1524.815505,1504.713641,1245.354313,se|1291
INTL.26-2-IRN-BCF.A,        Iran,232,155,200,310,476,600,536,565,706,784,764.569,803,882.875,938.3205,1123.02,1243.08,1373.7535,1663.3365,1827.55125,2111.837,2220.96035,2478.4067,2798.00745,2909.956,3020.8451,3707.3687,3839.09365,3992.0076,4212.72635,4993.541,5105.8427,5420.887815,5484.06635,5568.11605,6128.07069,6567.636495,7014.508709,7306.314074,7661.579956,7781.649936,7874.739577,8208.098293
INTL.26-2-IRQ-BCF.A,        Iraq,45.023307,23,24,18,20,29.19016261,31.6323,35,88,100.4079225,69.59106,61.15578,79.78369,90.053,111.94,111.95,114.4206,107.71075,104.17925,112.3017,111.24225,97.4694,83.3434,54.82932,35.147,51.20675,63.567,141.7980755,212.9727345,227.6601182,238.16271,208.851509,210.264097,236.043828,252.28859,244.166209,335.984429,394.959978,510.268735,636.1644353,659.8252843,650.36949
INTL.26-2-IRL-BCF.A,        Ireland,32,49,73,77,82,87,59,59,71,80,82,84,82.99,94.19,95.85,101.57,113.961505,118.37588,117.74021,124.52069,141.719095,148.323,151.43072,152.13702,156.51608,145.391855,162.66089,175.30366,182.86107,177.245985,194.37376,170.677395,167.11058,160.18884,154.926905,153.76151,180.3181644,184.7678166,191.9638485,194.7538525,195.2517449,182.6104586
INTL.26-2-ISR-BCF.A,        Israel,5,5,3,2,2,2,1.4,2.1,1.4,1.4,1.059,1.059,0.76,1.05945,1.06,0.71,0.7063,0.7063,0.7063,0.35315,0.35315,0.35315,0.35315,0.7063,23.66105,24.36735,34.25555,40.2591,50.8536,101.7072,128.89975,117.2458,51.91305,180.1065,281.8137,305.8279,353.2555421,377.8935891,381.7782061,383.4301151,397.4601297,412.0239921
INTL.26-2-ITA-BCF.A,        Italy,972,942,944,967,1135,1151,1217,1346,1460,1581,1674,1775,1760.31149,1800.99,1748.13,1920.61,1984.13796,2047.5637,2204.538875,2396.087435,2498.359675,2505.210785,2488.22427,2743.304515,2846.706835,3046.448475,2983.517145,2998.137555,2997.643145,2755.41756,2934.570555,2751.638855,2645.623225,2474.486735,2186.42228,2384.574745,2504.362207,2653.955277,2567.305516,2629.71302,2517.234079,2697.039418
INTL.26-2-JAM-BCF.A,        Jamaica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.607647059,6.960588235,3.452941176,9.894117647,24.48823529,25.10705882
INTL.26-2-JPN-BCF.A,        Japan,898.322173,920.218754,951.288702,1015.502271,1365.777273,1460.639026,1487.350746,1535.256107,1610.646422,1722.90594,1957.723047,2096.483403,2119.891305,2169.729751,2276.717219,2358.926052,2458.567797,2538.105458,2601.194323,2758.477148,2844.130387,2832.777906,2904.337198,3000.534537,2983.62883,2960.994162,3254.014701,3538.178196,3467.673314,3428.906173,3615.466449,4262.909336,4436.95728,4434.838398,4442.500444,4245.114892,4166.716258,4189.317666,4093.0397,3825.354274,3684.301214,3666.471518
INTL.26-2-JOR-BCF.A,        Jordan,0,0,0,0,0,0,0,0,0,2.8,4.59,4.59,5.3,7.063,9.89,10.24,9.53505,10.24135,9.8882,9.8882,10.24135,10.24135,10.94765,23.3079,49.79415,55.0914,79.45875,91.819,103.47295,108.41705,96.7631,45.9095,34.67933,47.710565,15.82112,102.307555,178.3401041,184.6614354,187.8711298,184.7972083,177.3925789,148.5054002
INTL.26-2-KAZ-BCF.A,        Kazakhstan,--,--,--,--,--,--,--,--,--,--,--,--,709.83,522.66,529.72,383.42991,509.95,494.41,473.221,480.284,490.8785,505.0045,526.1935,321.22524,482.720735,393.05595,376.81105,717.95395,793.1749,470.04265,411.0666,459.095,437.55285,477.81195,463.68595,480.63715,511.9966036,542.7163998,547.4023033,513.2172064,559.6207222,se|582
INTL.26-2-KEN-BCF.A,        Kenya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-KIR-BCF.A,        Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-XKS-BCF.A,        Kosovo,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-KWT-BCF.A,        Kuwait,244,100,100,124,144,140,191,284,351,415,218.6,18,92.525,191.407,210.83,210.83,210.83055,327.37005,317.835,305.1216,339.024,300.1775,282.52,321.3665,342.5555,434.3745,438.25915,425.8989,448.5005,437.164385,512.879745,600.00185,641.496975,653.009665,647.641785,738.401335,786.1468094,766.6884097,812.6981173,874.316256,880.9200962,1003.57919
INTL.26-2-KGZ-BCF.A,        Kyrgyzstan,--,--,--,--,--,--,--,--,--,--,--,--,84.76,79.1,63.57,31.07,64.42,67.8048,67.59291,67.45165,67.557595,71.19504,42.378,26.027155,32.454485,26.1331,27.40444,27.136046,26.48625,23.145451,16.31553,14.126,15.04419,14.33789,15.150135,6.3567,6.633078261,6.633078261,7.714410861,7.339743845,7.890286451,7.888318219
INTL.26-2-LAO-BCF.A,        Laos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-LVA-BCF.A,        Latvia,--,--,--,--,--,--,--,--,--,--,--,--,56.5,28.25,24.72,38.85,35.32,45.9095,45.9095,45.55635,56.504,60.0355,60.0355,63.567,67.45165,68.5111,67.0985,58.26975,44.85005,55.0914,64.308615,56.64526,53.25502,51.595215,46.3686394,46.792375,48.4521659,42.7311845,50.22006123,47.47936846,37.70850246,41.34073403
INTL.26-2-LBN-BCF.A,        Lebanon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4126,5.29725,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-LSO-BCF.A,        Lesotho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-LBR-BCF.A,        Liberia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-LBY-BCF.A,        Libya,180,110,88,112,122,143,168,161,157,165,175,175.15,174,168.0994,173.39,171.28,184.3443,192.46675,192.46675,149.7356,183.638,190.34785,197.0577,167.74625,209.41795,205.88645,165.803925,187.8758,194.2325,220.9261379,248.1740593,171.9078891,272.6438109,316.5595356,284.4599085,258.2221458,254.1337909,236.7886328,235.9056225,270.8529811,232.7965828,se|243
INTL.26-2-LBY-BCF.A,        Liechtenstein,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
INTL.26-2-LTU-BCF.A,        Lithuania,--,--,--,--,--,--,--,--,--,--,--,--,141.26,84.76,81.22,98.88,91.82,102.4135,113.008,75.5741,91.819,97.4694,102.06035,107.00445,103.1198,107.3576,102.76665,121.4836,124.66195,96.40995,109.82965,120.071,117.2458,114.4206,98.1757,88.2514353,77.7276547,81.5938247,75.4782467,78.7820647,83.6182919,80.1281948
INTL.26-2-LUX-BCF.A,        Luxembourg,20,15,11,10,11,12,12,14,15,17,17,18,18.78758,19.529195,19.67,22.46,24.543925,25.00302,25.179595,26.027155,26.662825,27.68696,42.625205,42.554575,47.922455,47.216155,49.546945,46.33328,44.320325,44.814735,48.16966,41.81296,42.87241,36.51571,34.53807,31.112515,28.5698566,27.934192,27.45243207,27.40515935,25.06162769,26.895563
INTL.26-2-MAC-BCF.A,        Macau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.462760314,2.599515067,0,0.012536719,2.044897704,0.068192686,0.354912735,6.29488059,3.340594047,4.828225784,2.60975633,3.032967695
INTL.26-2-MDG-BCF.A,        Madagascar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-MWI-BCF.A,        Malawi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-MYS-BCF.A,        Malaysia,56,62,53,77,152,225,279,265,289,297,197.41085,233.079,253.91485,325.95745,411.0666,484.87495,498.6478,564.3337,579.51915,566.4526,684.4047,719.7197,842.96905,846.1474,752.9158,979.28495,1142.44025,1062.9815,1131.13945,1099.7091,1151.9753,1100.06225,1114.89455,1158.68515,1242.417015,1119.83865,1045.501207,1075.448072,1348.79195,1368.088953,1252.480734,1282.261596
INTL.26-2-MDV-BCF.A,        Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-MLI-BCF.A,        Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-MLT-BCF.A,        Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1000042,12.16109457,13.73863851,12.44684373,se|14
INTL.26-2-MTQ-BCF.A,        Martinique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie
INTL.26-2-MRT-BCF.A,        Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-MUS-BCF.A,        Mauritius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-MEX-BCF.A,        Mexico,799,865,943,945,946,990,880,893,904,881,918,978.367,991.397995,1058.920275,1101.298275,1106.91336,1167.58453,1240.9691,1423.936115,1371.387395,1472.247035,1494.283595,1684.137035,1893.837505,1988.65828,1947.48099,2173.78,2279.971715,2361.30216,2552.809,2269.231,2329.08,2426.19,2529.17,2569.804,2756,2864.589825,2881.500548,3043.512837,3036.169373,2982.757613,3033.309487
INTL.26-2-FSM-BCF.A,        Micronesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-MDA-BCF.A,        Moldova,--,--,--,--,--,--,--,--,--,--,--,--,77.69,63.57,49.44,49.44,70.63,84.756,81.57765,74.1615,75.22095,72.39575,77.693,84.0497,76.63355,86.52175,93.58475,86.1686,88.9938,82.28395,76.63355,74.51465,122.54305,115.8332,111.24225,96.40995,97.4340763,88.8879189,96.7576837,98.9658196,98.67566419,se|112
INTL.26-2-MDA-BCF.A,        Monaco,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
INTL.26-2-MNG-BCF.A,        Mongolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-MNE-BCF.A,        Montenegro,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-MSR-BCF.A,        Montserrat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-MAR-BCF.A,        Morocco,2.5,3.2,3,3.2,2,3,3,2.1,2.1,2.1,2,1.374174212,0.847316905,1.059,1.06,0.71,0.71,1.76575,1.76575,1.4126,1.76575,1.76575,1.76575,1.76575,1.4126,15.96051748,20.17175492,22.8884,19.7764,19.7764,20.12955,28.252,44.179065,42.837095,41.6717,42.978355,43.684649,43.331502,39.1812388,37.13895207,29.01191126,29.20673108
INTL.26-2-MOZ-BCF.A,        Mozambique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1189,2.1189,2.1189,2.1189,2.1189,2.8252,2.47205,4.59095,5.29725,7.063,6.3567,5.29725,2.8252,18.3638,45.55635,55.0914,63.567,66.921925,62.7194757,64.6970989,42.3816988,49.35619645,46.71219308,se|48
INTL.26-2-NAM-BCF.A,        Namibia,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-NRU-BCF.A,        Nauru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-NPL-BCF.A,        Nepal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-NLD-BCF.A,        Netherlands,1493,1421,1511,1451,1540,1624,1620,1672,1513,1550,1535,1741.700485,1668.91627,1743.395605,1684.772705,1729.44618,1916.650995,1795.803065,1773.37804,1732.76579,1737.63926,1772.707055,1754.696405,1766.66819,1809.68186,1757.239085,1687.91574,1641.405885,1712.00057,1728.45736,1939.21728,1693.601455,1608.88077,1627.10331,1421.71127,1408.57409,1468.220618,1531.963652,1506.913682,1574.13615,1539.844488,1486.803764
INTL.26-2-NLDA-BCF.A,        Netherlands Antilles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-NCL-BCF.A,        New Caledonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-NZL-BCF.A,        New Zealand,39,47,80,84,105,134,157,151,165,168,169,182,195.00943,175.1617,174.773935,166.015815,186.32194,198.788135,174.985825,200.30668,212.349095,227.85238,213.23197,164.673845,145.70969,145.70969,136.492475,152.84332,146.55725,150.053435,166.227705,152.737375,159.094075,169.759205,189.606235,178.6939,178.7998441,182.7550905,162.6786586,174.6750706,166.9358418,145.5974654
INTL.26-2-NIC-BCF.A,        Nicaragua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-NER-BCF.A,        Niger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.249721879,1.335586,1.335586,0
INTL.26-2-NGA-BCF.A,        Nigeria,38,76,50,81,97,108,116,131,133,166,131,168,173.0435,178.3408,160.68,183.28,192.8199,206.59275,208.3585,219.30615,237.66995,219.30615,224.6034,300.53065,329.1358,365.8634,385.6398,374.339,433.491625,146.9104,177.63445,542.191195,547.3825,584.8164,667.488815,664.6283,652.9744484,609.2901645,654.4501645,663.4789188,668.4288466,777.4027176
INTL.26-2-NIU-BCF.A,        Niue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-PRK-BCF.A,        North Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-MKD-BCF.A,        North Macedonia,--,--,--,--,--,--,--,--,--,--,--,--,9.421471173,10.42,0,0,0,0,0.7063,1.4126,0,0,0,0,3.5315,3.5315,3.5315,2.8252,2.47205,2.8252,2.8252,4.2378,2.8252,1.4126,4.709698,4.744845,7.416017,9.524837,8.822002441,10.26285371,11.91504388,15.02407721
INTL.26-2-MNP-BCF.A,        Northern Mariana Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
